Marker,CellType
PRSS23,Secretory
RARRES1,Secretory
SCGB1A1,Secretory
SCGB3A1,Secretory
SLC34A2,Secretory
SLC4A4,Secretory
SLC6A14,Secretory
SLPI,Secretory
TGM2,Secretory
TMEM45A,Secretory
VMO1,Secretory
XBP1,Secretory
